date,time,translated_tweet
2023-01-01,,solved thank you very much excellent service as always
2023-01-02,,thank you very much i wait for your dm
2023-01-02,,thank you so much
2023-01-02,,something similar happened to me i wanted to renew my token so i could make a transfer before closing the account and wow it was easier to get the money through the window
2023-01-02,,yeeeeee through my account i just signed up for my savings account with my 2023 challenge to have 25 thousand pesos at the end of the year it has a super tool to direct debit to my core account and thus save disciplinedly every week come on  
2023-01-02,,this is the signal you need to have the minimum money in banamex
2023-01-03,,gracias 
2023-01-03,,thank you very much 
2023-01-03,,i dont know much but i recommend the investment of  one of the best performances i have seen and a 7day deadline also the one from is cool but they have a limit of 20k in investment
2023-01-04,,thank you for the shirt you gave me at gdl galleries
2023-01-04,,good dayi have problems with my account
2023-01-05,,gracias
2023-01-05,,my respects to you thanks for the service 
2023-01-05,,yes i already blocked and unblocked it and i was able to make the deposit in oxxo thank you
2023-01-06,,everything is fine thank you 
2023-01-06,,miracle that i won something 
2023-01-06,,yes friend hahaha its very cool and you can invest and it gives you good performance 
2023-01-06,,i had never won anything before  hahaha
2023-01-06,,with cashback i was able to pay for my internet service yei 
2023-01-07,,gracias
2023-01-07,,ready thanks
2023-01-07,,yes thanks
2023-01-08,,it arrived to me about a week later
2023-01-09,,hello good morning i have some questions with my account could you get in touch thank you very much
2023-01-10,,thank you so much
2023-01-10,,thank you very much 
2023-01-10,,block the card for 5 minutes or more then unlock it again and add it that is the solution confirm me with a tweet please
2023-01-10,,it is 35000 udis 184000 of all the platforms in which i have invested the best are finsus and cetes for the long term and heybanco is for me the best option for your emergency fund since you have weekly liquidity in finsus i have around 90 of my portfolio
2023-01-11,,excellent thank you for responding  we will be very attentive 
2023-01-11,,well well i ran out of dinner thank you very much 
2023-01-11,,thank you and also blessings 
2023-01-11,,ok im waiting
2023-01-11,,thank you very much i await the response
2023-01-13,,i earned 99 pesos of credit on amazon what nice guys 
2023-01-13,,is better
2023-01-13,,please contain me
2023-01-14,,thank you very much how kind 
2023-01-14,,heybanco has been a bancomer customer for many years and i came across and the truth is that i am very comfortable with the services the app and the debit and credit cards
2023-01-14,,friends i sent you a dm thank you
2023-01-14,,i request your help thank you
2023-01-15,,thank you i already responded ill stay tuned
2023-01-16,,okay thank you
2023-01-16,,i dont even know what i stung but thank you very much
2023-01-16,,2023 season planning of the teams thanks to the trust from day 1 and the sponsorship bomb is coming with we are going for the doubledavilacarloss
2023-01-16,,thats why they are my bank 1 
2023-01-17,,gracias
2023-01-17,,thanks
2023-01-17,,thank you so much
2023-01-17,,thank you very much you helped me enough the charge no longer proceeded they were very good even when i couldnt communicate by phone they were very kind thank you very much for your interest they took care of everything
2023-01-17,,incredible thanks heybancoheybanco
2023-01-17,,they answered yes
2023-01-18,,gracias
2023-01-18,,gracias
2023-01-18,,thank you
2023-01-18,,thank you for being on the lookout i am sure that you will do your best to ensure that the incentives arrive otherwise i will be asking for your support
2023-01-18,,the sixth option this option is one of the best its 7day promissory note is the best on the market with a rate of 10 per year only that the investment here is from 5000 it has a goal plan that gives you a monthly return on the 4th  and your money available at any time
2023-01-18,, how cool for you david  enjoy it
2023-01-19,,gracias
2023-01-19,,hello can you support me please 
2023-01-19,,that is appreciated the warning 
2023-01-19,,thank you it is already reflected solved thank you
2023-01-20,,ready thanks
2023-01-20,,thank you so much
2023-01-20,,los tkm 
2023-01-20,,coesa of encourage yourself to take account of hey thank you very much for the gift cneiaokii
2023-01-20,,cough cough too 
2023-01-20,,i highly recommend it to you and they dont charge you for the plastic
2023-01-20,,fortunately in mexico we have  which gives us 10 of what we have in the account 
2023-01-21,,thank you very much for answering me my problem is now solved excellent day
2023-01-23,,gracias 
2023-01-23,,thank you very much the team at helped me solve the problem and gave me the reward i won
2023-01-23,,thank you  this month i got a ticket
2023-01-23,,bello
2023-01-23,,there is still hope congratulations
2023-01-24,,gracias 
2023-01-24,,gracias
2023-01-24,,thank you very much 
2023-01-24,,thank you for my ticketed prize i already redeemed my gift card
2023-01-24,,man thanks for my golden ticket i finally got something
2023-01-24,,dont worry what a good dream
2023-01-24,,second prize i hope more come
2023-01-25,,gracias
2023-01-25,,gracias 
2023-01-25,,hello this benefits us users
2023-01-26,,thanks for the support with the followup
2023-01-26,,thanks dude hey this helps us a lot
2023-01-26,,thank you very much a free month of
2023-01-27,,thank you very much it solved it for me greetings
2023-01-27,,ok thanks 
2023-01-27,,it worked like she fell just for a few seconds it was weird thank you so much
2023-01-27,,hello i wrote to you by dm because i have a couple of questions about tdc thank you
2023-01-27,,thank you for being a member of fc barcelona
2023-01-27,,when will they give me a traditional loan i have had a credit card as collateral for more than a year and i have made my payments in a timely manner
2023-01-28,,ok thanks
2023-01-28,,after spending 1 year testing the credit card i can say that it is very good and not to mention the debit account really in terms of security in transactions very top tqm hey
2023-01-28,,friendship use if you use your card 6 times a month for purchases of 100 pesos you become heypro and your investment gives you a 10 annual return which is super super good compared to other banks or invest for 25 years with allianz a my cousin explained to me and it sounds good
2023-01-28,,great
2023-01-29,,i won 2 prizes
2023-01-29,,friend explain to me
2023-01-30,,thank you very much for the information
2023-01-30,,thanks
2023-01-30,,winds thank you
2023-01-30,,i would love to show off my golden ticket prizeif only it existed
2023-01-31,,can you provide me with the link to invite more people and have my benefit thank you
2023-02-01,,gracias 
2023-02-01,,thanks ill check it out
2023-02-01,,will there no longer be a financial trip in 2022 that information was very good
2023-02-01,,thanks for the information and how was it dreamy 
2023-02-01,,good day how can you help me since they made a deposit to my credit account but i need it to the credit account
2023-02-02,,thank you so much
2023-02-02,,thanks its already solved good afternoon
2023-02-02,,i will do it thank you
2023-02-02,,in december i won an amazon gift card with the heybanco golden ticket and i bought this the lady gets excited
2023-02-03,,it worked for me thank you very much
2023-02-03,,thanks but its not necessary its a good option so far i have not had serious problems with them it is just adapting to their processes but still i think they are on the right track although sometimes they make me angry
2023-02-04,,hmm giving you a 10 return is a good option
2023-02-04,,thank you for my credit increase on my card  very happy with your services 
2023-02-05,,speaking of axolotls the bank will release this card and i loved it 
2023-02-07,,it would be the best tdc if you could make advance payments in the months without interest as in other accounts being an excellent option for many users
2023-02-08,,i almost gave up when i didnt get any help from the sopoe team luckily someone here referred me to on twitter send him a private message and he fixed it for me all thanks to him contact him now
2023-02-08,,thank you for being the best bank 
2023-02-10,,heybanco has weekly promissory notes with 10 annually that is after a week you already obtain returns and you can reinvest that in the next promissory note automatically since you generate compound interest very quickly it is much better than the 11 annual rate of cetes
2023-02-11,,gracias
2023-02-11,,solved thank you
2023-02-11,,alch do some research on cetes gmb and hey cetes if you need to research it is cool but it is very safe and hey with heybanco it is safe and fast money but not much
2023-02-11,,excellent customer service at heybanco 1010
2023-02-11,,for the first time i won something in the golden ticket of my dor i love you so much 
2023-02-13,,ok thank you very much 
2023-02-13,,thank you because i have a doubt
2023-02-13,,thank you for being part of this great family
2023-02-13,,after today life and my favorite bank said have a gift card so you can have a starbucks and relax for a while
2023-02-14,,100 recommended vdd
2023-02-14,,to see if you are fit and viable for life insurance xd
2023-02-14,,how interesting what i found in the permissions used by the heybanco application it was activated why do they need it
2023-02-15,, gracias 
2023-02-15,,hello try the phone or email in the image i havent had any problems with the app
2023-02-15,,hello i need help with changing my cell phone number and with my token
2023-02-16,,i have thought about changing my payroll with them i have it and i am very comfortable its good that they tell me not to get a card there
2023-02-16,,thank you now i saw something regarding international transfers where do i see information
2023-02-16,,well its better the truth
2023-02-16,,everything is ready
2023-02-17,,i just received the tax certificate and last year i earned 2400 just from having my money saved with them 1010
2023-02-17,,never at least the amex the first annuity is free and gives you benefits for purchases the first year and bonuses
2023-02-17,,thanks for the response ill be on the lookout
2023-02-18,,hello good afternoon
